relative_sample,time_ms,AECG1,AECG2,AECG3,AECG4
-400,-200.0,0.43963361639418785,0.6099551765756438,0.8984835711949283,0.7806728836772986
-399,-199.5,0.39191552568827,0.5427194774396535,0.7800372167471595,0.7289027459460851
-398,-199.0,0.376464418572942,0.4671793675696025,0.6428550968834874,0.6405491906036173
-397,-198.5,0.32862420402630016,0.38466730042366154,0.4473655452885631,0.537156103200724
-396,-198.0,0.16203403866137744,0.1929387703256495,0.17038656279183975,0.34416020869447833
-395,-197.5,-0.009199442928609441,-0.011456744633480394,-0.11509426754513319,0.15658261069366028
-394,-197.0,-0.20447200206909172,-0.20760772018081913,-0.3870381076870975,-0.025924296022835087
-393,-196.5,-0.29581030627221777,-0.4207952616830946,-0.6272856442723513,-0.19645707368391924
-392,-196.0,-0.5698637640541464,-0.5689557412206827,-0.8122697080526776,-0.33534850543745603
-391,-195.5,-0.7396827195445919,-0.6477784763250605,-0.9378958963753772,-0.4214569937350589
-390,-195.0,-0.8670298511836694,-0.663208426768074,-0.9953595902359281,-0.45700322616392
-389,-194.5,-0.9402828452741387,-0.6142988258287027,-0.9797234919637957,-0.4449038567668364
-388,-194.0,-0.9526197561756709,-0.511017200603424,-0.9032552659840236,-0.3947993316694167
-387,-193.5,-0.9030320925185227,-0.3709075120432545,-0.7871546692819521,-0.315994900722006
-386,-193.0,-0.7963123316297069,-0.21306666874260624,-0.6456661449152985,-0.21573344539416964
-385,-192.5,-0.6427633199608562,-0.05378943078267413,-0.48699468455514283,-0.10383840799978322
-384,-192.0,-0.4591615543940667,0.09463236863661655,-0.3251723485984191,0.006096795468716918
-383,-191.5,-0.2672979657148026,0.22277181282954178,-0.17845219736792056,0.1025503553095484
-382,-191.0,-0.08665750035367976,0.32317823790530675,-0.05514583592261778,0.18088653232572646
-381,-190.5,0.07219612095571898,0.39259450693039133,0.04940113789932828,0.2415603262826386
-380,-190.0,0.20456421600671248,0.4357412029259836,0.14063970405143258,0.28623615656253
-379,-189.5,0.3040059369524687,0.4647426166071343,0.21885052295094345,0.3169610186906185
-378,-189.0,0.36606965303437694,0.4938477908943293,0.2857656726055398,0.34132846239143205
-377,-188.5,0.43493078815726466,0.5651554525170973,0.3910937401336858,0.35598819111155944
-376,-188.0,0.44223393644823206,0.6129433239746929,0.4672448536228759,0.37016561414002724
-375,-187.5,0.44774153278227447,0.6748017956079734,0.5506726003432266,0.38998275345111644
-374,-187.0,0.4588745694306896,0.7493220613003649,0.6340867362440854,0.4172362472384079
-373,-186.5,0.47635824616328737,0.829042691342301,0.7134434223574734,0.4485810789506472
-372,-186.0,0.5211245653940659,0.9149831796054549,0.8127872973186423,0.4840509760183615
-371,-185.5,0.5568246105724902,0.9761922369623703,0.8745570395778492,0.510256543504043
-370,-185.0,0.6563092991675488,1.051169818437911,0.9010408040006236,0.5462720800441484
-369,-184.5,0.7884645969595381,1.146159553197073,0.9111581037850419,0.5559922822086422
-368,-184.0,0.8057488368872676,1.1198286334796193,0.8818836965859147,0.539752762572778
-367,-183.5,0.7943504128621627,1.0203948817455615,0.7624622055453244,0.4703817152934484
-366,-183.0,0.7653421669482925,0.9193555161841526,0.6578784142865607,0.4050158597587838
